,Symbol_1,Symbol_2,Coint_Rating,Price Symbol_1,Price Symbol_2,Symbol_1 Beta Rating,Symbol_2 Beta Rating
0,DCUE,PEAK,8.515459992703741e-07,91.79,20.41,1.4416221864427667,1.212520217979556
1,BTG,RDFN,1.2156717316494694e-05,3.4401,13.52,1.7801974377712635,1.9415491766893658
2,ENVA,PRSP,1.7018179984672313e-05,12.05,16.92,0.9566617353842944,1.0410747570661045
3,LULU,ECOM,1.7541010330192963e-05,185.5,7.51,1.1183381906219847,1.1517568186855522
4,LULU,TBK,6.791382356050876e-05,185.5,24.8,1.1183381906219847,0.9985449346842185
5,ENVA,CEQP,8.351707849852076e-05,12.05,4.37,0.9566617353842944,0.8181751811188274
6,NEM,GLD,9.254526616931364e-05,48.26,151.86,-6.503447535936488,-6.356912286813174
7,DCUE,NIU,0.0001134190762795897,91.79,6.61,1.4416221864427667,1.1948140411406156
8,FFBW,SFL,0.0001353955342582029,7.71,9.02,0.9472321537065981,0.9660936794833958
9,ZEN,WDAY,0.0001676384659082361,58.81,122.37,1.0027801560266507,1.0384586472420017
10,ENVA,FIX,0.0001846966313947499,12.05,34.3,0.9566617353842944,0.9259731129214143
11,SFBS,MCY,0.00022935330188541905,28.54,39.74,1.0184670845385295,0.9846224758637188
12,IDXX,GOOGL,0.0002664689167088116,239.24,1116.84,1.045024872037974,1.0369474438720325
13,KALV,ENVA,0.0002690171549333715,7.45,12.05,0.892009943137433,0.9566617353842944
14,IDXX,GOOG,0.00029856890354310224,239.24,1121.74,1.045024872037974,1.0427803420580124
15,LULU,SFBS,0.0003230534929734111,185.5,28.54,1.1183381906219847,1.0184670845385295
16,BGCP,ENVA,0.0003843629673816609,2.21,12.05,0.9095012795751984,0.9566617353842944
17,VZ,SSB,0.0005104149403407304,55.25,54.62,0.8234088722254761,0.7001099660383898
18,ENVA,CFG,0.0005615916072140494,12.05,17.42,0.9566617353842944,0.8809593867001552
19,NWE,NIU,0.0006482776488464308,56.1,6.61,1.4818420125039882,1.1948140411406156
20,ENVA,SSB,0.0006919851770109552,12.05,54.62,0.9566617353842944,0.7001099660383898
21,ENVA,DVD,0.0008378923154577124,12.05,1.28,0.9566617353842944,0.8188799630543877
22,PYPL,CRM,0.0011410764100359219,93.52,134.38,1.1817106761056038,1.187953069658621
23,FCNCA,CFG,0.0012030655308561961,308.64,17.42,0.936101301593976,0.8809593867001552
24,SPOT,CFG,0.0013128518033034935,121.49,17.42,0.9680351188596777,0.8809593867001552
25,ATUS,MU,0.001395245863751452,22.3,41.09,1.121894942824738,1.0879674908171773
26,FCNCA,EWQ,0.001405800411835119,308.64,22.51,0.936101301593976,0.9867757174937235
27,KALV,SPOT,0.0014896358571456355,7.45,121.49,0.892009943137433,0.9680351188596777
28,ENVA,SFL,0.0015281335771570124,12.05,9.02,0.9566617353842944,0.9660936794833958
29,SABR,TCS,0.0015706894614861593,4.57,2.115,0.7597469724295837,0.876869197851839
30,IDXX,ATUS,0.0016248411255924433,239.24,22.3,1.045024872037974,1.121894942824738
31,ATUS,ALBO,0.0016559879180518327,22.3,15.7,1.121894942824738,1.1653053937433029
32,IDXX,ZEN,0.0017707253877030636,239.24,58.81,1.045024872037974,1.0027801560266507
33,IEX,TCS,0.0020221792961737,136.39,2.115,0.9021585589821016,0.876869197851839
34,ENVA,NCR,0.0023684443810947243,12.05,18.31,0.9566617353842944,0.758102520634271
35,CVX,RGLD,0.0024258656079668276,76.11,92.76,0.8803328830230104,0.9458092596092958
36,DIA,TCS,0.002439246626802693,213.95,2.115,0.9809887410852614,0.876869197851839
37,SPOT,BGCP,0.002487746354413969,121.49,2.21,0.9680351188596777,0.9095012795751984
38,FIX,CFG,0.0026732255899508833,34.3,17.42,0.9259731129214143,0.8809593867001552
39,ECOM,SFBS,0.0030884701436651374,7.51,28.54,1.1517568186855522,1.0184670845385295
40,ENVA,FBNC,0.0031012970266030564,12.05,21.65,0.9566617353842944,0.894080883599032
41,MU,BABA,0.003209349338474674,41.09,188.88,1.0879674908171773,0.9925073941778111
42,FIX,SFL,0.0033698066507194735,34.3,9.02,0.9259731129214143,0.9660936794833958
43,TCS,CFG,0.0034204676930773173,2.115,17.42,0.876869197851839,0.8809593867001552
44,ATUS,BABA,0.0034493189933570926,22.3,188.88,1.121894942824738,0.9925073941778111
45,FB,TCS,0.0035248940653458552,158.2,2.115,0.8807643043084904,0.876869197851839
46,MPX,CTT,0.0035426593664730542,7.91,6.41,1.0302815491545905,0.9597418629876264
47,RGLD,ENVA,0.0040663280075698485,92.76,12.05,0.9458092596092958,0.9566617353842944
48,KALV,SABR,0.004148723917479108,7.45,4.57,0.892009943137433,0.7597469724295837
49,ZEN,GOOG,0.00420730323242391,58.81,1121.74,1.0027801560266507,1.0427803420580124
50,EWQ,CFG,0.004207552710252045,22.51,17.42,0.9867757174937235,0.8809593867001552
51,FCNCA,ENVA,0.004226424562030297,308.64,12.05,0.936101301593976,0.9566617353842944
52,RGLD,SFL,0.004440317564031346,92.76,9.02,0.9458092596092958,0.9660936794833958
53,DDOG,AYX,0.00453948002213483,34.59,83.4,1.5624755437203748,1.6690273544671868
54,SSB,NEXT,0.004588398902646052,54.62,1.47,0.7001099660383898,0.6091607008406935
55,LYFT,ENVA,0.00494641626599129,22.45,12.05,0.8691375914096039,0.9566617353842944
56,MPX,ENVA,0.00498008024353522,7.91,12.05,1.0302815491545905,0.9566617353842944
